env_step,episode,epsilon,episode_reward,total_waiting_time,throughput,loss
71800,99,0.10249999999999992,-712.3794340193272,75.0,2667,0.029268339276313782
72000,99,0.1,-986.5491527616978,99.0,3789,0.0180498119443655
72200,100,0.1,-373.03982898406684,146.0,884,0.014151385985314846
72400,100,0.1,-564.8195883911103,88.0,1993,0.009798572398722172
72600,100,0.1,-848.1993426959962,118.0,3107,0.020592929795384407
72800,101,0.1,-218.7799173220992,134.0,196,0.048242248594760895
73000,101,0.1,-458.02960308641195,119.0,1319,0.21282260119915009
73200,101,0.1,-739.4093955382705,147.0,2450,0.26925331354141235
73400,101,0.1,-981.6790927276015,137.0,3541,0.021061791107058525
73600,102,0.1,-344.21976357512176,165.0,647,0.018430674448609352
73800,102,0.1,-513.5495150666684,88.0,1762,0.033306777477264404
74000,102,0.1,-853.3091972451657,170.0,2869,0.027370193973183632
74200,103,0.1,-131.86998808383942,104.0,26,0.06158377230167389
74400,103,0.1,-348.54984390735626,46.0,1127,0.06767380982637405
74600,103,0.1,-679.9997364282608,80.0,2234,0.013695758767426014
74800,103,0.1,-1032.6096521615982,124.0,3312,0.014135978184640408
75000,104,0.1,-274.2999844830483,127.0,424,0.013211981393396854
75200,104,0.1,-544.5998041909188,115.0,1539,0.015809867531061172
75400,104,0.1,-812.3597677033395,83.0,2666,0.023534292355179787
75600,104,0.1,-1102.5696709435433,76.0,3776,0.017625978216528893
75800,105,0.1,-355.73995306901634,87.0,880,0.02047375962138176
76000,105,0.1,-696.3498130124062,140.0,1997,0.013407440856099129
76200,105,0.1,-1002.9096765797585,145.0,3109,0.016816455870866776
76400,106,0.1,-242.05992707423866,170.0,192,0.017192957922816277
76600,106,0.1,-550.3796072881669,237.0,1318,0.015384522266685963
76800,106,0.1,-785.7592926900834,270.0,2437,0.03307076543569565
77000,106,0.1,-864.3889399450272,117.0,3542,0.025873376056551933
77200,107,0.1,-266.1497924029827,110.0,651,0.014891959726810455
77400,107,0.1,-559.269413203001,169.0,1763,0.012201528996229172
